debito;credito;data;grupo;subgrupo;valor
;;15/07/2025;;TEL E INTERNET;-179,21
;;15/07/2025;;TEL E INTERNET;-133,35
;;15/07/2025;;;50
;;15/07/2025;;;324
;;15/07/2025;;;396
;;16/07/2025;;COPA / LIMPEZA;-13,98
;;17/07/2025;;SEGUROS;-242,81
;;17/07/2025;;TAXAS DIVERSAS;106,53
;;17/07/2025;;TAXAS DIVERSAS;-140,43
;;17/07/2025;;TAXAS DIVERSAS;-144,63
;;17/07/2025;;TAXAS DIVERSAS;-148,69
;;17/07/2025;;TAXAS DIVERSAS;-152,89
;;17/07/2025;;TAXAS DIVERSAS;-156,68
;;17/07/2025;;TAXAS DIVERSAS;-160,88
;;17/07/2025;;TAXAS DIVERSAS;-108,13
;;17/07/2025;;TAXAS DIVERSAS;-111,36
;;17/07/2025;;TAXAS DIVERSAS;-114,49
;;17/07/2025;;TAXAS DIVERSAS;-117,72
;;17/07/2025;;TAXAS DIVERSAS;-120,64
;;17/07/2025;;TAXAS DIVERSAS;-123,87
;;17/07/2025;;MANUT PREDIAL;-750
;;17/07/2025;;;1789,5
;;17/07/2025;;;320
;;18/07/2025;;INSUM DE PRODUÇ;-661,06
;;18/07/2025;;INSUM DE PRODUÇ;-255,62
;;18/07/2025;;FOLHA DE PGTO;-1733,67
;;18/07/2025;;TEL E INTERNET;-86,02
;;18/07/2025;;FOLHA DE PGTO;-2174,6
;;18/07/2025;;;636
;;18/07/2025;;;1914,5
;;18/07/2025;;;270
;;21/07/2025;;FRETE / MOTOBOY;-1455
;;21/07/2025;;SEGUROS;-142,46
;;21/07/2025;;FOLHA DE PGTO;1733,67
;;21/07/2025;;;594,52
;;21/07/2025;;TAXAS DIVERSAS;-72
;;22/07/2025;;;-320
;;22/07/2025;;;-270
;;22/07/2025;;INSUM DE PRODUÇ;-506
;;22/07/2025;;INSUM DE PRODUÇ;-237,12
;;22/07/2025;;INSUM DE PRODUÇ;-628,01
;;22/07/2025;;INSUM DE PRODUÇ;-625,85
;;22/07/2025;;CURSO E TREINAM;-85
;;22/07/2025;;INSUM DE PRODUÇ;-357,31
;;22/07/2025;;INSUM DE PRODUÇ;-808,36
;;22/07/2025;;INSUM DE PRODUÇ;-733,32
;;22/07/2025;;INSUM DE PRODUÇ;-270,12
;;22/07/2025;;INSUM DE PRODUÇ;-141,45
;;22/07/2025;;INSUM DE PRODUÇ;-411,5
;;22/07/2025;;INSUM DE PRODUÇ;-136,81
;;22/07/2025;;INSUM DE PRODUÇ;-319,96
;;22/07/2025;;INSUM DE PRODUÇ;-223,75
;;22/07/2025;;FOLHA DE PGTO;-99,9
;;22/07/2025;;INVESTIMENTO;-54,66
;;22/07/2025;;INVESTIMENTO;-45,75
;;22/07/2025;;INVESTIMENTO;-203,5
;;22/07/2025;;CURSO E TREINAM;-123,8
;;22/07/2025;;EVENTO;-69,95
;;22/07/2025;;EVENTO;-72,48
;;22/07/2025;;COPA / LIMPEZA;-1,29
;;22/07/2025;;COPA / LIMPEZA;-7,47
;;22/07/2025;;COPA / LIMPEZA;-9,73
;;22/07/2025;;COPA / LIMPEZA;-15,99
;;22/07/2025;;COPA / LIMPEZA;-1,89
;;22/07/2025;;COPA / LIMPEZA;-37,26
;;22/07/2025;;COPA / LIMPEZA;-2,48
;;22/07/2025;;COPA / LIMPEZA;-5,99
;;22/07/2025;;COPA / LIMPEZA;-2,72
;;22/07/2025;;COPA / LIMPEZA;-80,93
;;22/07/2025;;COPA / LIMPEZA;-22,24
;;22/07/2025;;COPA / LIMPEZA;-5,99
;;22/07/2025;;COPA / LIMPEZA;-3,21
;;22/07/2025;;COPA / LIMPEZA;-11,99
;;22/07/2025;;COPA / LIMPEZA;-2,32
;;22/07/2025;;COPA / LIMPEZA;-2,71
;;22/07/2025;;COPA / LIMPEZA;-5,99
;;22/07/2025;;INSUM DE PRODUÇ;-2,4
;;22/07/2025;;COPA / LIMPEZA;-1,57
;;22/07/2025;;COPA / LIMPEZA;-36,98
;;22/07/2025;;COPA / LIMPEZA;-2,23
;;22/07/2025;;COPA / LIMPEZA;-34,8
;;22/07/2025;;COPA / LIMPEZA;-6,99
;;22/07/2025;;COPA / LIMPEZA;-2,1
;;22/07/2025;;COPA / LIMPEZA;-13,99
;;22/07/2025;;INSUM DE PRODUÇ;-13,9
;;22/07/2025;;INSUM DE PRODUÇ;-25,94
;;22/07/2025;;MAT ESCRIT;-69,96
;;22/07/2025;;MAT ESCRIT;-45
;;22/07/2025;;MAT ESCRIT;-18,1
;;22/07/2025;;MAT ESCRIT;-79,7
;;22/07/2025;;MAT ESCRIT;-38,4
;;22/07/2025;;MANUT PREDIAL;-38
;;22/07/2025;;MANUT PREDIAL;-24,5
;;22/07/2025;;INSUM DE PRODUÇ;-9,99
;;22/07/2025;;INSUM DE PRODUÇ;-24,5
;;22/07/2025;;COPA / LIMPEZA;-23,78
;;22/07/2025;;INSUM DE PRODUÇ;-290,95
;;22/07/2025;;MANUT EQUIP;-18
;;22/07/2025;;INSUM DE PRODUÇ;-76
;;22/07/2025;;INSUM DE PRODUÇ;-93,33
;;22/07/2025;;MARKETING;-153
;;22/07/2025;;TAXAS DIVERSAS;-119,76
;;22/07/2025;;CURSO E TREINAM;-583,33
;;22/07/2025;;EVENTO;-31,3
;;22/07/2025;;EVENTO;-29,98
;;22/07/2025;;EVENTO;-85,8
;;22/07/2025;;MANUT EQUIP;-63,34
;;22/07/2025;;INVESTIMENTO;-674,83
;;22/07/2025;;INVESTIMENTO;-925,75
;;22/07/2025;;INSUM DE PRODUÇ;-19,38
;;22/07/2025;;INSUM DE PRODUÇ;-19,38
;;22/07/2025;;INSUM DE PRODUÇ;19,38
;;22/07/2025;;COPA / LIMPEZA;-7,49
;;22/07/2025;;INSUM DE PRODUÇ;-34,99
;;22/07/2025;;COPA / LIMPEZA;-7,98
;;22/07/2025;;INSUM DE PRODUÇ;-102,4
;;22/07/2025;;;820
;;22/07/2025;;;-636
;;22/07/2025;;;1800
;;22/07/2025;;COPA / LIMPEZA;-1,44
;;22/07/2025;;COPA / LIMPEZA;-2,91
;;22/07/2025;;COPA / LIMPEZA;-3,34
;;22/07/2025;;MANUT PREDIAL;-19
;;22/07/2025;;MANUT PREDIAL;-12
;;22/07/2025;;INSUM DE PRODUÇ;-25,75
;;22/07/2025;;COPA / LIMPEZA;-36
;;22/07/2025;;MANUT PREDIAL;-75
;;22/07/2025;;COPA / LIMPEZA;-48,62
;;22/07/2025;;INSUM DE PRODUÇ;-29,9
;;22/07/2025;;INSUM DE PRODUÇ;-32,43
;;22/07/2025;;INSUM DE PRODUÇ;-184
;;22/07/2025;;COPA / LIMPEZA;-47,23
